team,rmsa,team dropped
Los Angeles Gladiators,75.1,Chengdu Hunters
Shanghai Dragons,73.59,Chengdu Hunters
Dallas Fuel,67.97,Chengdu Hunters
Atlanta Reign,60.49,Chengdu Hunters
San Francisco Shock,59.34,Chengdu Hunters
Houston Outlaws,43.13,Chengdu Hunters
Seoul Dynasty,39.4,Chengdu Hunters
Philadelphia Fusion,32.02,Chengdu Hunters
Chengdu Hunters,9.89,Chengdu Hunters
New York Excelsior,4.21,Chengdu Hunters
Washington Justice,3.25,Chengdu Hunters
Guangzhou Charge,2.11,Chengdu Hunters
Hangzhou Spark,-1.01,Chengdu Hunters
Paris Eternal,-2.67,Chengdu Hunters
Boston Uprising,-7.64,Chengdu Hunters
Florida Mayhem,-13.54,Chengdu Hunters
Toronto Defiant,-18.64,Chengdu Hunters
London Spitfire,-55.63,Chengdu Hunters
Vancouver Titans,-74.46,Chengdu Hunters
Los Angeles Valiant,-99.16,Chengdu Hunters
Los Angeles Gladiators,72.26,Guangzhou Charge
Dallas Fuel,64.41,Guangzhou Charge
Shanghai Dragons,63.57,Guangzhou Charge
San Francisco Shock,56.73,Guangzhou Charge
Atlanta Reign,53.5,Guangzhou Charge
Chengdu Hunters,45.93,Guangzhou Charge
Houston Outlaws,40.79,Guangzhou Charge
Seoul Dynasty,31.55,Guangzhou Charge
Philadelphia Fusion,19.56,Guangzhou Charge
Guangzhou Charge,8.12,Guangzhou Charge
Washington Justice,1.82,Guangzhou Charge
New York Excelsior,1.12,Guangzhou Charge
Paris Eternal,-3.97,Guangzhou Charge
Boston Uprising,-9.03,Guangzhou Charge
Florida Mayhem,-11.68,Guangzhou Charge
Hangzhou Spark,-20.29,Guangzhou Charge
Toronto Defiant,-20.55,Guangzhou Charge
London Spitfire,-57.42,Guangzhou Charge
Vancouver Titans,-75.08,Guangzhou Charge
Los Angeles Valiant,-98.97,Guangzhou Charge
Los Angeles Gladiators,71.54,Hangzhou Spark
Shanghai Dragons,64.11,Hangzhou Spark
Dallas Fuel,61.44,Hangzhou Spark
San Francisco Shock,55.59,Hangzhou Spark
Atlanta Reign,54.99,Hangzhou Spark
Chengdu Hunters,41.87,Hangzhou Spark
Houston Outlaws,40.34,Hangzhou Spark
Seoul Dynasty,23.79,Hangzhou Spark
Philadelphia Fusion,14.21,Hangzhou Spark
Hangzhou Spark,6.32,Hangzhou Spark
Washington Justice,-1.76,Hangzhou Spark
New York Excelsior,-3.16,Hangzhou Spark
Paris Eternal,-5.7,Hangzhou Spark
Boston Uprising,-9.54,Hangzhou Spark
Guangzhou Charge,-11.55,Hangzhou Spark
Florida Mayhem,-12.25,Hangzhou Spark
Toronto Defiant,-23.39,Hangzhou Spark
London Spitfire,-60.73,Hangzhou Spark
Vancouver Titans,-79.81,Hangzhou Spark
Los Angeles Valiant,-100.0,Hangzhou Spark
Los Angeles Gladiators,69.3,Los Angeles Valiant
Shanghai Dragons,58.14,Los Angeles Valiant
Dallas Fuel,55.36,Los Angeles Valiant
San Francisco Shock,51.02,Los Angeles Valiant
Atlanta Reign,50.54,Los Angeles Valiant
Chengdu Hunters,34.89,Los Angeles Valiant
Houston Outlaws,33.1,Los Angeles Valiant
Seoul Dynasty,17.32,Los Angeles Valiant
Philadelphia Fusion,8.61,Los Angeles Valiant
Los Angeles Valiant,-2.08,Los Angeles Valiant
Washington Justice,-12.54,Los Angeles Valiant
Paris Eternal,-15.34,Los Angeles Valiant
Boston Uprising,-18.37,Los Angeles Valiant
Florida Mayhem,-21.96,Los Angeles Valiant
Toronto Defiant,-36.55,Los Angeles Valiant
New York Excelsior,-42.22,Los Angeles Valiant
Guangzhou Charge,-43.89,Los Angeles Valiant
Hangzhou Spark,-55.05,Los Angeles Valiant
London Spitfire,-75.86,Los Angeles Valiant
Vancouver Titans,-95.94,Los Angeles Valiant
Los Angeles Gladiators,69.45,New York Excelsior
Shanghai Dragons,60.42,New York Excelsior
Dallas Fuel,58.73,New York Excelsior
Atlanta Reign,53.28,New York Excelsior
San Francisco Shock,52.42,New York Excelsior
Chengdu Hunters,44.94,New York Excelsior
Houston Outlaws,37.75,New York Excelsior
Philadelphia Fusion,32.44,New York Excelsior
Seoul Dynasty,29.86,New York Excelsior
New York Excelsior,3.1,New York Excelsior
Washington Justice,-5.42,New York Excelsior
Paris Eternal,-9.23,New York Excelsior
Boston Uprising,-12.85,New York Excelsior
Florida Mayhem,-17.4,New York Excelsior
Toronto Defiant,-26.69,New York Excelsior
Guangzhou Charge,-27.05,New York Excelsior
Hangzhou Spark,-32.63,New York Excelsior
London Spitfire,-64.85,New York Excelsior
Vancouver Titans,-85.51,New York Excelsior
Los Angeles Valiant,-98.7,New York Excelsior
Los Angeles Gladiators,71.87,Philadelphia Fusion
Shanghai Dragons,69.68,Philadelphia Fusion
Dallas Fuel,62.92,Philadelphia Fusion
San Francisco Shock,56.8,Philadelphia Fusion
Atlanta Reign,56.08,Philadelphia Fusion
Chengdu Hunters,54.2,Philadelphia Fusion
Houston Outlaws,42.15,Philadelphia Fusion
Seoul Dynasty,38.27,Philadelphia Fusion
Philadelphia Fusion,8.5,Philadelphia Fusion
Washington Justice,0.92,Philadelphia Fusion
Paris Eternal,-1.77,Philadelphia Fusion
Guangzhou Charge,-3.53,Philadelphia Fusion
New York Excelsior,-7.62,Philadelphia Fusion
Hangzhou Spark,-7.89,Philadelphia Fusion
Boston Uprising,-7.95,Philadelphia Fusion
Florida Mayhem,-10.85,Philadelphia Fusion
Toronto Defiant,-19.82,Philadelphia Fusion
London Spitfire,-56.04,Philadelphia Fusion
Vancouver Titans,-75.92,Philadelphia Fusion
Los Angeles Valiant,-100.0,Philadelphia Fusion
Los Angeles Gladiators,71.37,Seoul Dynasty
Dallas Fuel,62.78,Seoul Dynasty
