team_one,team_one_map_wins,team_two,team_two_map_wins,winner,loser
London Spitfire,1,Toronto Defiant,3,Toronto Defiant,London Spitfire
Vancouver Titans,3,Boston Uprising,0,Vancouver Titans,Boston Uprising
New York Excelsior,1,Philadelphia Fusion,3,Philadelphia Fusion,New York Excelsior
Seoul Dynasty,2,Shanghai Dragons,3,Shanghai Dragons,Seoul Dynasty
Chengdu Hunters,3,Guangzhou Charge,1,Chengdu Hunters,Guangzhou Charge
Dallas Fuel,3,London Spitfire,1,Dallas Fuel,London Spitfire
Florida Mayhem,2,Atlanta Reign,3,Atlanta Reign,Florida Mayhem
Toronto Defiant,3,Washington Justice,0,Toronto Defiant,Washington Justice
Philadelphia Fusion,2,Seoul Dynasty,3,Seoul Dynasty,Philadelphia Fusion
Chengdu Hunters,3,New York Excelsior,1,Chengdu Hunters,New York Excelsior
Shanghai Dragons,3,Guangzhou Charge,1,Shanghai Dragons,Guangzhou Charge
Boston Uprising,1,Florida Mayhem,3,Florida Mayhem,Boston Uprising
Atlanta Reign,3,Dallas Fuel,1,Atlanta Reign,Dallas Fuel
Vancouver Titans,0,Washington Justice,3,Washington Justice,Vancouver Titans
