match_id,team_one,team_one_map_wins,team_two,team_two_map_wins,winner,loser,season,stage,date
10223,Los Angeles Valiant,4,San Francisco Shock,0,Los Angeles Valiant,San Francisco Shock,2018,Overwatch League - Stage 1,2018/01/11
10224,Los Angeles Gladiators,4,Shanghai Dragons,0,Los Angeles Gladiators,Shanghai Dragons,2018,Overwatch League - Stage 1,2018/01/11
10225,Seoul Dynasty,2,Dallas Fuel,1,Seoul Dynasty,Dallas Fuel,2018,Overwatch League - Stage 1,2018/01/11
10226,Florida Mayhem,1,London Spitfire,3,London Spitfire,Florida Mayhem,2018,Overwatch League - Stage 1,2018/01/11
10227,Houston Outlaws,2,Philadelphia Fusion,3,Philadelphia Fusion,Houston Outlaws,2018,Overwatch League - Stage 1,2018/01/12
10228,New York Excelsior,3,Boston Uprising,1,New York Excelsior,Boston Uprising,2018,Overwatch League - Stage 1,2018/01/12
10229,Dallas Fuel,0,Los Angeles Valiant,3,Los Angeles Valiant,Dallas Fuel,2018,Overwatch League - Stage 1,2018/01/13
10230,Boston Uprising,4,Florida Mayhem,0,Boston Uprising,Florida Mayhem,2018,Overwatch League - Stage 1,2018/01/13
10231,Shanghai Dragons,1,San Francisco Shock,3,San Francisco Shock,Shanghai Dragons,2018,Overwatch League - Stage 1,2018/01/13
10232,Philadelphia Fusion,0,London Spitfire,4,London Spitfire,Philadelphia Fusion,2018,Overwatch League - Stage 1,2018/01/13
10233,Houston Outlaws,1,New York Excelsior,3,New York Excelsior,Houston Outlaws,2018,Overwatch League - Stage 1,2018/01/13
10234,Los Angeles Gladiators,0,Seoul Dynasty,4,Seoul Dynasty,Los Angeles Gladiators,2018,Overwatch League - Stage 1,2018/01/13
10235,Philadelphia Fusion,2,San Francisco Shock,1,Philadelphia Fusion,San Francisco Shock,2018,Overwatch League - Stage 1,2018/01/18
10236,Seoul Dynasty,4,Florida Mayhem,0,Seoul Dynasty,Florida Mayhem,2018,Overwatch League - Stage 1,2018/01/18
10237,Shanghai Dragons,0,Houston Outlaws,4,Houston Outlaws,Shanghai Dragons,2018,Overwatch League - Stage 1,2018/01/18
10238,Houston Outlaws,4,Dallas Fuel,0,Houston Outlaws,Dallas Fuel,2018,Overwatch League - Stage 1,2018/01/18
10239,Los Angeles Valiant,0,New York Excelsior,3,New York Excelsior,Los Angeles Valiant,2018,Overwatch League - Stage 1,2018/01/19
10240,Los Angeles Gladiators,3,Philadelphia Fusion,2,Los Angeles Gladiators,Philadelphia Fusion,2018,Overwatch League - Stage 1,2018/01/19
10241,Boston Uprising,0,Seoul Dynasty,4,Seoul Dynasty,Boston Uprising,2018,Overwatch League - Stage 1,2018/01/20
10242,Florida Mayhem,4,Shanghai Dragons,0,Florida Mayhem,Shanghai Dragons,2018,Overwatch League - Stage 1,2018/01/20
10243,Dallas Fuel,1,London Spitfire,3,London Spitfire,Dallas Fuel,2018,Overwatch League - Stage 1,2018/01/20
10244,London Spitfire,3,Los Angeles Valiant,2,London Spitfire,Los Angeles Valiant,2018,Overwatch League - Stage 1,2018/01/20
10245,New York Excelsior,4,Los Angeles Gladiators,0,New York Excelsior,Los Angeles Gladiators,2018,Overwatch League - Stage 1,2018/01/20
10246,San Francisco Shock,3,Boston Uprising,2,San Francisco Shock,Boston Uprising,2018,Overwatch League - Stage 1,2018/01/20
10247,London Spitfire,3,San Francisco Shock,1,London Spitfire,San Francisco Shock,2018,Overwatch League - Stage 1,2018/01/25
10248,Seoul Dynasty,3,Shanghai Dragons,1,Seoul Dynasty,Shanghai Dragons,2018,Overwatch League - Stage 1,2018/01/25
10249,Los Angeles Valiant,3,Los Angeles Gladiators,2,Los Angeles Valiant,Los Angeles Gladiators,2018,Overwatch League - Stage 1,2018/01/25
10250,London Spitfire,2,Boston Uprising,3,Boston Uprising,London Spitfire,2018,Overwatch League - Stage 1,2018/01/25
10251,New York Excelsior,2,Philadelphia Fusion,3,Philadelphia Fusion,New York Excelsior,2018,Overwatch League - Stage 1,2018/01/26
10252,Florida Mayhem,0,Houston Outlaws,4,Houston Outlaws,Florida Mayhem,2018,Overwatch League - Stage 1,2018/01/26
