match_id,map_name,team,player1,player2,player3,player4,player5,player6
37147,Blizzard World,Dallas Fuel,Doha,FEARLESS,Fielder,Hanbin,Jecse,SP9RK1E
37147,Blizzard World,Houston Outlaws,Crimzo,Danteh,Happy,JJANGGU,Joobi,Piggy
37147,Busan,Dallas Fuel,Doha,FEARLESS,Fielder,Hanbin,Jecse,SP9RK1E
37147,Busan,Houston Outlaws,Crimzo,Danteh,Happy,JJANGGU,Joobi,Piggy
37147,Volskaya Industries,Dallas Fuel,Doha,FEARLESS,Fielder,Hanbin,Jecse,SP9RK1E
37147,Volskaya Industries,Houston Outlaws,Crimzo,Danteh,Happy,JJANGGU,Jake,Piggy
37148,Dorado,Florida Mayhem,GARGOYLE,GangNamJin,OGE,SLIME,Yaki,bqb
37148,Dorado,Washington Justice,BEBE,Closer,Decay,Fury,Jerry,MAG
37148,King's Row,Florida Mayhem,GARGOYLE,GangNamJin,OGE,SLIME,Yaki,bqb
37148,King's Row,Washington Justice,Assassin,BEBE,Closer,Decay,Fury,MAG
37148,Oasis,Florida Mayhem,GARGOYLE,GangNamJin,OGE,SLIME,Yaki,bqb
37148,Oasis,Washington Justice,Assassin,BEBE,Closer,Decay,Fury,MAG
37148,Volskaya Industries,Florida Mayhem,GARGOYLE,GangNamJin,OGE,SLIME,Yaki,bqb
37148,Volskaya Industries,Washington Justice,BEBE,Closer,Decay,Fury,Jerry,MAG
37149,Busan,Dallas Fuel,Doha,FEARLESS,Fielder,Hanbin,Jecse,SP9RK1E
37149,Busan,San Francisco Shock,Choihyobin,FDGod,STRIKER,Viol2t,nero,super
37149,Eichenwalde,Dallas Fuel,Doha,FEARLESS,Fielder,Hanbin,Jecse,SP9RK1E
37149,Eichenwalde,San Francisco Shock,Choihyobin,FDGod,STRIKER,Viol2t,nero,super
37149,Volskaya Industries,Dallas Fuel,Doha,FEARLESS,Fielder,Hanbin,Jecse,SP9RK1E
37149,Volskaya Industries,San Francisco Shock,Choihyobin,FDGod,STRIKER,Twilight,Viol2t,smurf
37150,Ilios,Florida Mayhem,GARGOYLE,GangNamJin,OGE,SLIME,Yaki,bqb
37150,Ilios,Toronto Defiant,ANSOONJAE,Heesu,Lastro,Michelle,Na1st,SADO
37150,King's Row,Florida Mayhem,GARGOYLE,GangNamJin,OGE,SLIME,Yaki,bqb
37150,King's Row,Toronto Defiant,ANSOONJAE,Heesu,Lastro,Michelle,Na1st,SADO
37150,Temple of Anubis,Florida Mayhem,GARGOYLE,GangNamJin,OGE,SLIME,Yaki,bqb
37150,Temple of Anubis,Toronto Defiant,ANSOONJAE,Heesu,Lastro,Michelle,Na1st,SADO
37211,Havana,Atlanta Reign,Gator,Hawk,Kai,Masaa,PELICAN,ir1s
37211,Havana,San Francisco Shock,Choihyobin,FDGod,STRIKER,Viol2t,nero,super
37211,King's Row,Atlanta Reign,Gator,Hawk,Kai,Masaa,PELICAN,ir1s
37211,King's Row,San Francisco Shock,Choihyobin,FDGod,STRIKER,Viol2t,nero,super
37211,Nepal,Atlanta Reign,Gator,Hawk,Kai,Masaa,PELICAN,ir1s
37211,Nepal,San Francisco Shock,Choihyobin,FDGod,STRIKER,Viol2t,nero,super
37211,Oasis,Atlanta Reign,Gator,Hawk,Kai,Masaa,PELICAN,ir1s
37211,Oasis,San Francisco Shock,Choihyobin,FDGod,STRIKER,Viol2t,nero,super
37211,Volskaya Industries,Atlanta Reign,Edison,Gator,Hawk,Kai,PELICAN,ir1s
37211,Volskaya Industries,San Francisco Shock,Choihyobin,FDGod,STRIKER,Twilight,Viol2t,smurf
37212,Havana,London Spitfire,Hadi,Hybrid,Kellex,Molf1g,Ripa,blase
37212,Havana,Toronto Defiant,ANSOONJAE,Heesu,Lastro,Michelle,Na1st,SADO
37212,King's Row,London Spitfire,Hadi,Hybrid,Kellex,Molf1g,Ripa,blase
37212,King's Row,Toronto Defiant,ANSOONJAE,Heesu,Lastro,Michelle,Na1st,SADO
37212,Lijiang Tower,London Spitfire,Hadi,Hybrid,Kellex,Molf1g,Ripa,blase
