team,rmsa attack,rmsa attack stdev,rmsa defend,rmsa defend stdev,rmsa,map_type,normalized rmsa
Dallas Fuel,12.096554687322008,4.719545652212378,6.6701099970849125,4.7195456522123775,18.76666468440692,Control,100.0
Shanghai Dragons,5.565619153757706,4.831801292475021,9.735473302698535,4.831801292475021,15.301092456456242,Control,81.04694355784908
Seoul Dynasty,5.082345548958856,5.528955665773915,5.314120734990636,5.528955665773917,10.396466283949493,Control,54.223766731394576
Los Angeles Gladiators,6.773380229882762,5.441900881577512,0.5200413282869112,5.441900881577511,7.2934215581696735,Control,37.25335666292475
Atlanta Reign,2.5763455839889717,5.137048590278631,3.532002000226268,5.1370485902786305,6.10834758421524,Control,30.77224115324617
Houston Outlaws,-1.2384705568496968,5.6564769974718105,6.6065780592929375,5.65647699747181,5.368107502443241,Control,26.723901910043214
Washington Justice,1.4955740619735387,5.428218277521669,1.6026580638001044,5.428218277521669,3.0982321257736434,Control,14.310057009137056
Chengdu Hunters,0.29042815759832363,5.274127986819295,2.001989784072851,5.274127986819294,2.2924179416711747,Control,9.903095991270439
San Francisco Shock,3.1076435782380334,5.374624672641004,-1.5665783927314498,5.374624672641004,1.5410651855065836,Control,5.793982038688328
Boston Uprising,-0.3317281804698246,5.652676034861839,0.4569595515224955,5.652676034861839,0.1252313710526709,Control,-1.9491485132087094
Toronto Defiant,-1.4270717034657532,5.847867506598507,-0.06532241235472583,5.847867506598509,-1.492394115820479,Control,-10.795868517396412
Philadelphia Fusion,1.5718169727521791,5.682513806592497,-3.6646072833595147,5.682513806592497,-2.0927903106073353,Control,-14.079407921270548
Guangzhou Charge,2.9340891344191156,5.9506452681813204,-5.219496726870309,5.950645268181321,-2.2854075924511936,Control,-15.13282304996897
Hangzhou Spark,-0.8176146731130757,5.680419335769313,-3.0943073336210665,5.6804193357693125,-3.9119220067341423,Control,-24.028156192716988
Paris Eternal,-4.3787750616519165,5.541732517920464,-0.9057452185506131,5.541732517920464,-5.284520280202529,Control,-31.534833543034058
