team,league_points,wins,losses,map_differential,maps_won,maps_lost,opponent_points,opponent_differential,sim_number,rank
Shanghai Dragons,21,12,4,21,38,17,122,-30,0,1
Chengdu Hunters,12,10,6,12,36,24,119,-53,0,2
Philadelphia Fusion,11,11,5,16,38,22,124,-19,0,3
Seoul Dynasty,11,11,5,13,36,23,123,-22,0,4
New York Excelsior,8,8,8,1,31,30,123,-31,0,5
Hangzhou Spark,7,7,9,-1,30,31,131,6,0,6
Guangzhou Charge,5,5,11,-17,20,37,136,46,0,7
Los Angeles Valiant,0,0,16,-45,3,48,146,103,0,8
Shanghai Dragons,20,12,4,20,38,18,124,-19,1,1
Chengdu Hunters,14,11,5,17,38,21,116,-67,1,2
Seoul Dynasty,12,12,4,17,39,22,120,-37,1,3
Philadelphia Fusion,10,10,6,12,37,25,126,-9,1,4
Hangzhou Spark,8,8,8,4,33,29,128,-11,1,5
New York Excelsior,7,7,9,-2,30,32,124,-29,1,6
Guangzhou Charge,4,4,12,-23,17,40,140,67,1,7
Los Angeles Valiant,0,0,16,-45,3,48,146,105,1,8
Shanghai Dragons,20,12,4,20,38,18,124,-19,2,1
Seoul Dynasty,14,12,4,19,40,21,120,-41,2,2
Chengdu Hunters,14,11,5,18,38,20,115,-73,2,3
Philadelphia Fusion,9,9,7,8,34,26,129,3,2,4
Hangzhou Spark,8,8,8,2,32,30,128,-7,2,5
New York Excelsior,8,8,8,1,31,30,121,-39,2,6
Guangzhou Charge,4,4,12,-23,17,40,140,67,2,7
Los Angeles Valiant,0,0,16,-45,3,48,147,109,2,8
Shanghai Dragons,20,12,4,20,38,18,124,-18,3,1
Chengdu Hunters,14,11,5,17,38,21,116,-68,3,2
Seoul Dynasty,12,12,4,17,39,22,120,-37,3,3
Philadelphia Fusion,10,10,6,12,37,25,126,-9,3,4
Hangzhou Spark,8,8,8,5,33,28,128,-13,3,5
New York Excelsior,7,7,9,-2,30,32,124,-30,3,6
Guangzhou Charge,4,4,12,-23,16,39,140,68,3,7
Los Angeles Valiant,0,0,16,-46,2,48,146,107,3,8
Shanghai Dragons,19,11,5,18,37,19,126,-14,4,1
Seoul Dynasty,15,13,3,21,41,20,118,-43,4,2
Chengdu Hunters,14,11,5,15,38,23,116,-63,4,3
Philadelphia Fusion,10,10,6,13,36,23,126,-14,4,4
Hangzhou Spark,7,7,9,1,32,31,130,-3,4,5
New York Excelsior,7,7,9,-3,29,32,124,-27,4,6
Guangzhou Charge,5,5,11,-19,19,38,138,60,4,7
Los Angeles Valiant,0,0,16,-46,2,48,146,104,4,8
Shanghai Dragons,20,12,4,20,38,18,123,-19,5,1
Chengdu Hunters,15,11,5,16,38,22,116,-66,5,2
Seoul Dynasty,11,11,5,16,39,23,122,-35,5,3
Philadelphia Fusion,10,10,6,12,37,25,127,-8,5,4
Hangzhou Spark,8,8,8,5,34,29,128,-13,5,5
New York Excelsior,8,8,8,0,31,31,122,-34,5,6
Guangzhou Charge,4,4,12,-23,16,39,139,67,5,7
Los Angeles Valiant,0,0,16,-46,2,48,147,108,5,8
Shanghai Dragons,22,12,4,21,38,17,124,-21,6,1
Chengdu Hunters,13,11,5,17,38,21,117,-64,6,2
Seoul Dynasty,12,12,4,17,38,21,119,-39,6,3
Philadelphia Fusion,10,10,6,12,36,24,126,-10,6,4
Hangzhou Spark,8,8,8,4,33,29,127,-13,6,5
New York Excelsior,7,7,9,-3,29,32,125,-24,6,6
Guangzhou Charge,3,3,13,-26,16,42,142,73,6,7
Los Angeles Valiant,1,1,15,-42,5,47,144,98,6,8
Shanghai Dragons,23,12,4,20,38,18,123,-22,7,1
Seoul Dynasty,14,12,4,18,40,22,121,-37,7,2
Chengdu Hunters,13,11,5,19,38,19,116,-71,7,3
Philadelphia Fusion,10,10,6,12,37,25,126,-8,7,4
Hangzhou Spark,7,7,9,0,31,31,131,-1,7,5
New York Excelsior,7,7,9,-3,29,32,124,-27,7,6
Guangzhou Charge,5,5,11,-21,18,39,137,60,7,7
Los Angeles Valiant,0,0,16,-45,3,48,146,106,7,8
Shanghai Dragons,23,12,4,21,38,17,124,-19,8,1
Chengdu Hunters,13,11,5,16,38,22,116,-67,8,2
